"moonwalk-reflections-meditative-drone-ambient.mp3","meditation_relaxing","Moonwalk","Reflections (Meditative Drone Ambient)","CC BY 3.0","https://archive.org/details/jamendo-525353"
"tina-ambient-ancient-cinematic-drone.mp3","meditation_relaxing","Tina Ambient","Ancient - Cinematic Drone","CC BY 3.0","https://archive.org/details/jamendo-631043"
"d-k-o-soundscape-space-blow.mp3","meditation_relaxing","D.K.O. soundscape","Space Blow","CC BY-SA 3.0","https://archive.org/details/jamendo-258390"
"marcello-morgese-mental-chaos.mp3","meditation_relaxing","Marcello Morgese","Mental Chaos","CC BY-SA 2.5","https://archive.org/details/jamendo-125218"
"marcello-morgese-war.mp3","meditation_relaxing","Marcello Morgese","War","CC BY-SA 2.5","https://archive.org/details/jamendo-125218"
"jack-greenwood-scarlet-miracle-original-mix.mp3","deep_house_yoga","Jack Greenwood","Scarlet Miracle (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-316588"
"jack-greenwood-infinity-original-mix.mp3","deep_house_yoga","Jack Greenwood","Infinity (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-308829"
"jack-greenwood-take-it-easy-original-mix.mp3","deep_house_yoga","Jack Greenwood","Take It Easy (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-321006"
"jack-greenwood-the-chain-of-events-original-mix.mp3","deep_house_yoga","Jack Greenwood","The Chain of Events (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-323018"
"jack-greenwood-wake-me-up-original-mix.mp3","deep_house_yoga","Jack Greenwood","Wake Me Up (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-324925"
"mast-never-say-original-mix.mp3","deep_house_yoga","Mast","Never Say (Original Mix)","CC BY 3.0","https://archive.org/details/jamendo-216657"
"rasl-deep-house-music.mp3","deep_house_yoga","RasL","Deep House Music","CC BY-SA 3.0","https://archive.org/details/jamendo-302460"
"jaros-yoga.mp3","deep_house_yoga","Jaros","Yoga","CC BY 3.0","https://archive.org/details/jamendo-331822"
"faces-in-the-clouds-man-must-explore.mp3","triphop_downtempo","Faces in the clouds","Man Must Explore","CC BY-SA 3.0","https://archive.org/details/jamendo-124355"
"faces-in-the-clouds-sea-of-darkness.mp3","triphop_downtempo","Faces in the clouds","Sea Of Darkness","CC BY-SA 3.0","https://archive.org/details/jamendo-124355"
"moonwalk-lazy-sunday-chill-downtempo-beat.mp3","triphop_downtempo","Moonwalk","Lazy Sunday (Chill Downtempo Beat)","CC BY 3.0","https://archive.org/details/jamendo-526099"
"moonwalk-soothing-soundscapes-chill-downtempo-beat.mp3","triphop_downtempo","Moonwalk","Soothing Soundscapes (Chill Downtempo Beat)","CC BY 3.0","https://archive.org/details/jamendo-526100"
"moonwalk-downtempo-delights-lofi-hip-hop.mp3","triphop_downtempo","Moonwalk","Downtempo Delights (Lofi Hip-hop)","CC BY 3.0","https://archive.org/details/jamendo-525295"
"sevennotes-modern-downtempo.mp3","triphop_downtempo","Sevennotes","Modern Downtempo","CC BY 3.0","https://archive.org/details/jamendo-510444"
"sevennotes-beauty-ambient-downtempo.mp3","triphop_downtempo","Sevennotes","Beauty Ambient Downtempo","CC BY 3.0","https://archive.org/details/jamendo-461257"
"cely-grande-relaxation-chillout-hip-hop-instrumental.mp3","triphop_downtempo","Cely Grande","Relaxation (Chillout Hip-Hop Instrumental)","CC0 1.0","https://archive.org/details/CelyGrande-RelaxationchilloutHip-hopInstrumental"
"kidjazz-idm-loopy.mp3","triphop_downtempo","kidjazz","IDM Loopy","CC BY-SA 3.0","https://archive.org/details/IdmLoopy"
"my-free-mickey-trip-hop-tricks.mp3","triphop_downtempo","My Free Mickey","Trip Hop Tricks","CC BY-SA 3.0","https://archive.org/details/TripHopTricks"
"ainst-child.mp3","triphop_downtempo","Ainst","Child","CC0 1.0","https://archive.org/details/RenaissanceByAinst.Idm"
"ainst-ep1.mp3","triphop_downtempo","Ainst","Ep1","CC0 1.0","https://archive.org/details/RenaissanceByAinst.Idm"
"keda-kid-72.mp3","liquid_dnb","Keda Kid","72","CC BY 3.0","https://archive.org/details/rz279"
"keda-kid-arcane.mp3","liquid_dnb","Keda Kid","Arcane","CC BY 3.0","https://archive.org/details/rz279"
"keda-kid-clear-nuclear.mp3","liquid_dnb","Keda Kid","Clear Nuclear","CC BY 3.0","https://archive.org/details/rz279"
"steven-booth-runaway-drum-n-bass.mp3","liquid_dnb","Steven Booth","Runaway Drum n Bass","CC BY 3.0","https://archive.org/details/jamendo-551981"
"arnaud-dromigny-jungle-train.mp3","liquid_dnb","Arnaud Dromigny","Jungle Train","CC BY-SA 3.0","https://archive.org/details/jamendo-134963"
"dj89-feat-candy89-effet-miroir-drum-and-bass-mix.mp3","liquid_dnb","Dj89 feat Candy89","Effet Miroir (Drum And Bass Mix)","CC BY-SA 3.0","https://archive.org/details/jamendo-120776"
"guizmoliveset-a-drum-and-bass.mp3","liquid_dnb","Guizmoliveset","A Drum And Bass","CC BY-SA 3.0","https://archive.org/details/jamendo-188268"
